Word Context_Valence Context_Arousal Context_Concreteness
skullcaps 5.585 4.034 3.31
skullduggery 5.381 4.117 2.815
skulls 5.477 4.143 3.284
skunk 5.48 4.187 3.294
skunked 5.611 4 2.901
skunks 5.533 4.269 3.255
sky 5.679 4.183 3.239
skycap 5.809 3.855 3.248
skycaps 5.751 4.022 3.115
skydive 5.671 4.157 3.158
skydiver 5.59 4.129 3.08
skydivers 5.541 4.115 3.078
skydiving 5.768 4.509 3.069
skyhook 5.595 4.072 3.011
skyjack 5.519 4.226 3.332
skyjacked 5.61 4.138 3.107
skyjackers 5.566 4.082 2.873
skylark 5.873 4 3.342
skylarking 5.834 4.094 3.132
skylarks 5.873 3.83 3.136
skylight 5.944 3.844 3.979
skylights 6.015 3.816 3.913
skyline 5.87 4.077 3.462
skylines 5.858 4.138 3.328
skype 5.89 3.96 3.253
skyrocket 5.445 4.128 3.023
skyrocketed 5.299 4.186 3.054
skyrocketing 5.239 4.216 3.055
skyrockets 5.282 4.313 3.091
skyscraper 5.404 4.218 3.372
skyscrapers 5.579 4.158 3.191
skyscraping 5.623 4.205 3.119
skywalk 5.818 3.903 3.305
skyward 5.484 4.173 3.321
skywards 5.514 4.228 3.338
skyway 5.66 4.03 3.311
skywriter 5.883 4.065 3.252
skywriting 5.778 4.051 3.232
slab 5.521 3.853 3.397
slabs 5.515 3.849 3.408
slack 5.497 4.036 3.016
slacked 5.655 4.04 2.969
slacken 5.513 4.032 3.054
slackened 5.383 4.076 3.009
slackening 5.387 4.139 2.961
slackens 5.43 4.091 3.128
slacker 5.663 4.107 3.013
slackers 5.581 4.109 2.914
slackest 5.52 4.049 2.978
slacking 5.607 4.034 2.901
slackly 5.565 3.711 3.451
slackness 5.283 3.96 2.838
slacks 5.767 3.811 3.545
slag 5.253 4.058 3.057
slagheap 5.195 3.994 3.095
slags 5.498 4.245 3.004
slain 5.254 4.325 2.998
slake 5.473 4.311 3.142
slaked 5.608 4.024 3.379
slakes 5.768 4.238 3.397
slaking 5.437 4.248 3.229
slalom 5.795 4.161 3.365
slalomed 5.899 3.713 3.324
slaloming 5.86 4.052 3.29
slaloms 5.827 3.898 3.417
slam 5.621 4.068 3.032
slammed 5.021 4.206 3.306
slammer 5.392 4.04 3.075
slammers 5.637 4.151 3.262
slamming 5.446 4.128 3.256
slams 5.422 4.216 3.25
slander 5.024 4.266 2.742
slandered 5.238 4.207 2.845
slanderer 4.831 4.436 2.845
slanderers 4.723 4.529 2.671
slandering 5.131 4.182 2.849
slanderous 5.157 4.129 2.781
slanderously 5.043 4.125 2.708
slanders 5.087 4.262 2.756
slang 5.538 4.052 3.072
slanged 5.643 4.395 3.224
slanging 5.487 3.912 2.912
slangs 5.681 4.009 2.879
slangy 5.724 4.037 2.816
slant 5.635 3.996 2.963
slanted 5.562 3.961 2.955
slanting 5.52 3.91 3.103
slants 5.603 3.972 2.962
slantwise 5.44 4.097 2.936
slap 5.331 4.181 3.214
slapdash 5.506 4.049 2.815
slaphappy 5.347 4.182 2.959
slapped 5.535 4.496 3.037
slapper 5.368 4.268 3.28
slappers 5.463 4.272 3.164
slapping 5.453 4.22 3.196
slaps 5.358 4.211 3.295
slapstick 5.861 4.288 2.939
slash 5.436 4.141 3.147
slashed 5.261 3.944 3.737
slashes 5.46 4.024 3.233
slashing 5.355 4.174 3.143
slat 5.597 3.849 3.616
slate 5.688 3.948 3.131
slated 6.561 4.235 3.648
slates 5.603 3.945 3.074
slather 5.626 4.06 3.251
slathered 5.671 4.029 3.54
slathering 5.529 4.075 3.346
slating 5.596 4.037 2.937
slats 5.535 3.87 3.415
slatted 5.613 3.744 3.65
slattern 5.377 4.161 3.182
slaty 5.525 3.742 3.409
slaughter 5.593 4.144 3.122
slaughtered 5.463 4.18 3.124
slaughterer 5.204 4.262 3.136
slaughterers 5.326 4.274 2.977
slaughterhouse 5.433 4.064 3.205
slaughterhouses 5.49 4.023 3.051
slaughtering 5.499 4.252 3.026
slaughters 5.254 4.321 3.064
slav 5.512 4.028 2.834
slave 5.228 4.385 3.107
slaved 5.656 4.036 3.075
slaveholder 5.149 4.289 2.879
slaveholders 5.366 4.122 2.851
slaver 5.276 4.233 3.095
slavered 5.529 4.115 3.22
slavering 5.267 4.288 3.123
slavers 5.347 4.256 2.952
slavery 5.417 4.385 2.936
slaves 5.306 4.318 3.013
slavic 5.617 3.96 2.873
slaving 5.551 4.142 3.031
slavish 5.488 4.142 2.709
slavishly 5.441 4.006 2.845
slavishness 5.425 4.239 2.666
slavs 5.418 4.041 2.772
slaw 6.028 3.889 3.745
slay 5.337 4.331 3.003
slayer 5.515 4.293 3.191
slayers 5.549 4.186 3.005
slaying 5.247 4.341 3.269
slays 5.159 4.657 3.032
sleaze 5.292 4.207 3.009
sleazebag 5.27 4.298 2.72
sleazebags 5.395 4.251 2.989
sleazier 5.505 4.12 2.878
sleaziest 5.31 4.1 3.182
sleaziness 5.207 4.187 2.769
sleazy 5.282 4.254 2.965
sled 5.86 4.192 3.573
sledded 5.747 3.967 3.461
sledding 5.857 4.196 3.336
sledge 5.498 4.154 3.381
sledged 5.678 3.916 2.989
sledgehammer 5.244 4.334 3.291
sledgehammers 5.196 4.125 3.219
sledges 5.599 4.19 3.555
sledging 5.53 4.112 2.896
sleds 5.77 4.049 3.418
sleek 5.838 4.107 3.311
sleeked 5.516 3.775 3.284
sleeker 5.815 3.925 3.125
sleekest 5.938 3.976 3.236
sleeking 5.274 3.64 3.21
sleekly 5.757 4.193 3.239
sleekness 5.725 4.013 3.042
sleeks 5.91 4.834 3.509
sleep 5.665 4.013 3.078
sleeper 5.63 3.919 3.337
sleepers 5.568 3.909 3.076
sleepier 5.684 3.89 2.9
sleepily 5.496 4.074 2.958
sleepiness 5.31 4.04 3.026
sleeping 5.726 4.12 3.271
sleepless 5.593 4.036 3.15
sleeplessly 5.834 3.99 3.398
sleeplessness 4.858 4.338 2.976
sleeplike 5.534 3.892 2.991
sleepover 6.104 4.564 3.512
sleepovers 5.928 4.27 3.274
sleeps 5.81 4.115 3.357
sleepwalk 5.635 4.113 3.019
sleepwalker 5.654 4.08 3.065
sleepwalkers 5.658 4.031 3.014
sleepwalking 5.444 4.176 2.989
sleepwalks 5.707 4.155 3.039
sleepwear 5.977 4.189 3.623
sleepy 5.671 3.948 3.232
sleepyhead 5.963 3.902 3.029
sleepyheads 5.662 4.131 3.043
sleet 5.749 3.965 3.57
sleeting 5.832 3.906 3.339
sleets 5.745 3.51 3.699
sleety 5.673 3.919 3.377
sleeve 5.643 3.942 3.372
sleeved 5.735 3.68 3.623
sleeveless 5.784 3.888 3.664
sleeves 5.68 3.938 3.291
sleigh 5.794 4.026 3.478
sleighed 5.78 3.936 3.725
sleighing 6.325 4.328 3.44
sleighs 6.004 4.122 3.297
sleight 5.589 4.086 3.124
slender 5.782 4.045 3.245
slenderer 5.621 3.9 3.084
slenderness 5.374 3.896 2.921
slept 5.813 4.003 3.223
sleuth 5.735 4.113 3.082
sleuthhound 5.265 3.848 2.881
sleuthing 5.707 4.055 2.811
sleuths 5.432 4.176 3.066
slew 5.483 4.128 3.091
slewed 5.533 3.89 3.26
slewing 5.485 3.966 3.028
slews 5.572 3.986 3.069
slice 5.741 4.002 3.349
sliceable 5.88 3.983 3.211
sliced 5.708 3.909 3.645
slicer 5.745 4.021 3.493
slices 5.723 3.895 3.602
slicing 5.504 4.131 3.3
slick 5.569 4.081 3.166
slicked 5.561 3.898 3.73
slicken 5.601 4.045 3.381
slicker 5.654 4.059 3.209
slickers 5.771 4.255 3.454
slickest 5.585 4.046 3.059
slicking 5.497 4.069 3.572
slickly 5.567 4.126 3.089
slickness 5.682 4.086 2.998
slicks 5.491 4.009 3.304
slid 5.592 4.068 3.561
slide 5.605 3.977 3.238
slider 5.689 3.954 3.153
sliders 5.703 3.945 3.205
slides 5.625 3.964 3.293
slideshow 5.966 4.192 3.434
sliding 5.527 3.967 3.412
slight 5.542 4.034 2.966
slighted 5.617 4.106 2.75
slighter 5.621 4.006 2.91
slightest 5.474 4.114 2.722
slighting 5.613 4.127 2.829
slightly 5.584 3.982 2.981
slightness 5.687 4.086 2.809
slights 5.342 4.197 2.728
slim 5.706 4.132 3.085
slime 5.248 4.132 3.173
slimed 5.438 4.152 3.046
slimes 5.405 4.204 3.214
slimier 5.297 4.044 2.938
slimiest 4.318 4.743 3.726
sliming 5.365 4.176 3.077
slimly 5.084 4.357 3.111
slimmed 5.634 4 3.039
slimmer 5.854 4.065 2.812
slimmers 5.794 4.138 3.603
slimmest 5.553 4.096 2.879
slimming 5.733 4.069 3.307
slimness 5.703 4.095 3.004
slims 5.405 4.143 3.142
slimy 5.122 4.24 3.154
sling 5.446 4.132 3.343
slinger 5.533 4.246 3.414
slingers 5.42 4.199 3.11
slinging 5.359 4.084 3.1
slings 5.445 4.087 3.122
slingshot 5.578 4.19 3.374
slingshots 5.413 4.309 3.422
slink 5.397 4.048 2.919
slinked 5.462 4.075 3.041
slinkiest 6.086 4.34 3.249
slinkiness 6.212 3.502 3.399
slinking 5.455 4.073 3.055
slinks 5.279 4.107 3.13
slinky 5.731 4.032 3.184
slip 5.559 4.01 3.104
slipcover 5.907 3.334 4.105
slipcovers 5.905 3.454 3.996
slipknot 5.779 4.415 3.61
slipknots 5.715 4.227 3.337
slipover 5.423 4.258 3.887
slippage 5.487 3.992 2.972
slipped 5.566 4.047 3.291
slipper 5.836 3.931 3.598
slippered 5.565 3.946 3.568
slipperier 5.376 4.07 3.073
slipperiest 5.421 3.933 3.079
slipperiness 5.634 4.079 2.91
slippers 5.855 3.923 3.567
slippery 5.483 4.045 3.144
slipping 5.551 4.092 3.143
slippy 5.693 3.926 3.149
slips 5.571 4.115 3.161
slipshod 5.366 4.066 2.806
slipstream 5.735 4.001 3.059
slipup 5.579 4.023 2.815
slipups 5.609 4.092 2.876
slipway 5.645 4.044 3.302
slipways 5.634 3.941 3.097
slit 5.537 4.152 3.363
slither 5.43 4.062 3.121
slithered 5.373 4.129 3.296
slithering 5.349 4.153 3.112
slithers 5.373 4.02 3.294
slithery 5.427 4.241 3.151
slits 5.572 3.952 3.269
slitting 5.232 4.199 3.306
sliver 5.553 4.085 3.154
slivered 5.897 3.654 3.966
slivers 5.552 3.986 3.477
sloan 5.471 4.059 2.99
slob 5.24 4.179 3.146
slobber 5.538 4.183 3.296
slobbered 5.502 4.206 3.428
slobbering 5.395 4.208 3.097
slobbers 5.492 4.164 3.205
slobbery 5.81 4.296 3.454
slobs 5.36 4.122 2.943
sloe 5.871 4.068 3.404
sloes 5.795 3.885 3.325
slog 5.531 4.067 2.95
slogan 5.641 4.144 2.954
sloganeer 5.542 4.123 2.96
sloganeering 5.413 4.1 2.75
slogans 5.436 4.182 2.999
slogged 5.648 3.966 3.087
slogging 5.583 4.045 2.988
slogs 5.41 4.197 2.969
sloop 5.636 4.041 3.377
sloops 5.484 4.063 3.325
slop 5.607 3.986 3.221
slope 5.478 4.036 3.107
sloped 5.59 3.765 3.448
slopes 5.609 4.015 3.147
sloping 5.561 3.807 3.503
slopped 5.435 4.014 3.337
sloppier 5.59 3.977 2.819
sloppiest 5.694 4.018 2.983
sloppily 5.57 3.982 2.928
sloppiness 5.413 3.981 2.699
slopping 5.495 3.992 3.243
sloppy 5.502 4.033 2.909
slops 5.471 4.096 3.218
slosh 5.59 3.97 3.239
sloshed 5.597 4.059 3.279
sloshes 5.623 3.988 3.313
sloshing 5.597 4.109 3.232
slot 5.723 4.091 3.344
sloth 5.256 4.055 3.203
slothful 5.323 4.152 2.864
slothfully 5.776 4.097 3.061
slothfulness 5.217 4.28 2.733
sloths 5.435 3.908 3.468
slotmachine 5.626 4.552 2.867
slots 5.892 4.248 3.178
slotted 5.579 3.852 3.405
slotting 5.615 3.949 3.117
slouch 5.698 4.021 3.085
slouched 5.557 3.823 3.506
slouches 5.61 3.999 3.124
slouching 5.363 4.036 3.055
slouchy 5.618 4 3.525
slough 5.549 4.03 3.105
sloughed 5.323 4.067 3.082
sloughing 5.408 4.067 3.142
sloughs 5.471 3.976 3.27
slovak 5.77 4.081 3.107
sloven 5.262 4.141 2.979
slovenia 5.651 4.082 3.078
slovenliness 5.328 4.129 2.592
slovenly 5.322 4.071 2.908
slow 5.563 4.052 3.049
slowcoach 5.491 4.048 2.856
slowdown 5.435 4.081 2.904
slowdowns 5.444 4.057 2.874
slowed 5.484 4.066 3.047
slower 5.621 3.796 2.908
slowest 5.608 3.989 3.035
slowing 5.487 4.086 3.009
slowly 5.551 4.045 3.183
slowness 5.483 4.023 2.859
slowpoke 5.578 4.022 2.942
slowpokes 5.538 4.021 3.013
slows 5.494 4.082 3.074
sludge 5.247 3.976 3.304
sludgy 5.358 3.915 3.325
slug 5.458 4.118 3.228
slugabed 5.02 3.815 2.908
slugabeds 5.665 4.476 3.076
slugfest 5.59 4.184 3.025
slugfests 5.543 4.224 2.943
sluggard 5.643 3.935 3.118
sluggardly 5.659 4.004 3.156
slugged 5.499 4.122 3.216
slugger 5.681 4.125 3.219
sluggers 5.726 4.035 3.155
slugging 5.533 3.986 3.051
sluggish 5.458 4.087 2.956
sluggishly 5.527 4.033 3.107
sluggishness 5.358 4.064 2.838
slugs 5.272 4.201 3.409
sluice 5.555 4.009 3.375
sluiced 5.608 4.056 3.484
sluices 5.493 4.054 3.176
sluiceway 6.123 3.436 3.2
sluicing 5.574 4.139 3.367
slum 5.448 4.175 3.216
slumber 6.093 4.428 3.23
slumbered 5.906 4.026 2.929
slumbering 5.603 4.142 3.063
slumberous 6.056 3.956 3.568
slumbers 5.822 4.098 3.023
slumbrous 5.649 4.037 3.248
slumlord 5.509 4.114 3.029
slumlords 5.433 4.155 2.971
slummed 5.766 3.869 3.072
slumming 5.721 4.121 2.915
slummy 5.598 3.964 3.133
slump 5.434 4.087 3.024
slumped 5.462 4.022 3.438
slumping 5.369 4.162 3.153
slumps 5.424 4.07 3.154
slums 5.456 4.18 3.103
slung 5.427 3.946 3.46
slunk 5.445 4.008 3.09
slur 5.262 4.086 2.826
slurp 5.568 4.11 3.249
slurped 5.606 4.193 3.32
slurping 5.407 4.3 3.347
slurps 5.5 4.221 3.146
slurred 5.474 4.018 3.118
slurring 5.484 4.062 3.064
slurry 5.449 3.861 3.449
slurs 5.033 4.232 2.838
slush 5.678 4.128 3.194
slushiness 5.149 3.901 2.606
slushy 5.65 4.021 3.466
slut 5.459 4.77 3.453
sluts 5.549 4.991 3.499
sluttish 5.629 4.179 3.097
slutty 5.913 4.58 3.525
sly 5.381 4.192 2.915
slyer 5.335 4.205 2.738
slyly 5.642 4.086 2.988
slyness 5.181 4.403 2.792
smack 5.539 4.135 3.177
smacked 5.522 4.141 3.095
smacker 5.451 4.281 3.523
smackers 5.791 4.17 3.075
smacking 5.56 4.198 3.157
smacks 5.372 4.167 2.889
small 5.593 4.059 3.219
smaller 5.614 3.959 2.998
smallest 5.667 3.979 3.038
smallish 5.702 3.935 3.189
smallness 5.635 4.049 2.803
smallpox 4.916 4.396 3.163
smalls 5.568 4.145 3.163
smalltime 5.543 4.197 3.066
smarmy 5.416 4.194 2.882
smart 5.629 4.03 3.073
smartass 5.207 4.445 3.319
smartcard 5.64 3.889 3.133
smarted 5.473 4.076 3.018
smarten 5.504 4.153 2.885
smartened 5.535 4.008 2.844
smartening 5.701 4.038 2.873
smarter 5.622 4.079 2.857
smartest 5.829 4.052 3.067
smarting 5.313 4.125 3.126
smartly 5.534 4.035 3.207
smartness 5.724 4.052 2.696
smartphone 5.852 3.991 3.235
smarts 5.753 4.073 2.874
smarty 5.866 3.988 3.059
smash 5.378 4.421 3.224
smashed 5.42 4.11 3.405
smasher 5.648 4.196 3.418
smashers 5.655 4.177 3.101
smashes 5.487 4.17 3.494
smashing 5.955 4.07 3.502
smashingly 5.847 4.269 2.871
smashup 5.642 4.17 3.164
smashups 5.556 4.223 2.923
smattering 5.751 3.996 2.912
smatterings 5.766 3.993 2.868
smear 4.986 4.302 2.936
smeared 5.285 4.148 3.255
smearing 5.306 4.145 2.996
smears 5.11 4.232 2.916
smell 5.56 4.005 3.125
smelled 5.6 4.097 2.929
smeller 5.371 4.272 2.711
smellier 5.368 4.118 3.122
smelliest 5.463 4.117 3.116
smelliness 5.265 4.282 2.796
smelling 5.501 4.011 3.237
smells 5.544 4 3.182
smelly 5.244 4.154 3.323
smelt 5.669 4.045 3.289
smelted 5.566 3.868 3.403
smelter 5.493 3.992 3.367
smelters 5.516 4.005 3.29
smelting 5.527 3.942 3.338
smelts 5.777 4.156 3.05
smidge 5.657 3.973 3.035
smidgen 5.665 4.061 2.853
smilax 5.649 3.724 3.541
smile 5.917 4.143 2.995
smiled 5.908 4.06 3.153
smiles 5.813 4.102 3.086
smiley 5.685 4.147 3.133
smiling 5.779 4.032 3.248
smilingly 5.589 4.119 3.164
smirch 5.507 4.049 2.797
smirched 5.581 4.006 3.181
smirk 5.569 4.167 2.973
smirked 5.853 4.132 3.153
smirking 5.37 4.051 3.127
smirks 5.537 4.133 3.097
smite 5.328 4.336 3.097
smites 5.349 4.327 3.1
smith 5.636 4.066 3.168
smithereens 5.32 4.4 3.262
smithies 5.743 4.04 3.276
smiths 5.741 4.073 3.179
smithsonian 5.78 3.906 3.302
smithy 5.613 4.018 3.108
smiting 5.412 4.3 2.928
smitten 5.538 4.207 3.029
smock 5.783 3.927 3.451
smocking 5.897 4.007 3.654
smocks 5.704 3.932 3.357
smog 5.529 4.067 3.106
smoggy 5.668 3.969 3.266
smogs 5.491 4.048 3.057
smoke 5.48 4.092 3.265
smoked 5.604 4.086 3.28
smokehouse 5.815 4.046 3.297
smokeless 5.179 4.15 3.428
smoker 5.389 4.142 3.158
smokers 5.274 4.149 3.025
smokes 5.561 4.113 3.123
smokescreen 5.375 4.155 2.843
smokescreens 5.343 4.152 2.844
smokestack 5.43 4.131 3.258
smokestacks 5.397 4.054 3.312
smokier 5.627 3.989 3.12
smokiness 5.63 4.08 2.921
smoking 5.191 4.224 3.287
smoky 5.833 4.14 3.861
smolder 5.189 4.183 3.182
smoldered 5.348 4.166 3.354
smoldering 5.247 4.219 3.323
smolderingly 5.715 4.111 3.068
smolders 5.165 4.3 3.34
smooch 6.019 4.214 3.208
smooched 5.962 4.084 3.334
smooches 5.916 4.192 3.093
smooching 5.801 4.162 3.17
smoochy 5.484 4.26 3.386
smooth 5.702 4.017 3.187
smoothbore 5.122 4.423 3.236
smoothed 5.602 3.932 3.119
smoother 5.753 3.992 2.995
smoothes 5.491 4.007 3.294
smoothest 5.766 4.01 3.075
smoothie 6.18 4.073 3.692
smoothies 6.51 4.098 3.759
smoothing 5.549 3.964 3.015
smoothly 5.657 4.068 2.986
smoothness 5.683 4.023 2.966
smooths 5.504 4.02 2.916
smorgasbord 5.738 4.089 2.993
smote 5.405 4.283 3.225
smother 5.567 4.232 3.15
smothered 5.574 4.167 3.338
smothering 5.489 4.275 3.129
smothers 5.718 4.222 3.278
smothery 6.239 3.512 2.887
smoulder 5.332 4.131 3.272
smouldered 5.443 4.105 3.374
smoulders 5.511 4.307 3.368
smudge 5.623 3.917 3.262
smudged 5.521 3.899 3.34
smudges 5.531 3.887 3.346
smudginess 5.363 3.791 3.21
smudging 5.664 3.886 3.2
smudgy 5.632 3.911 3.217
smug 5.539 4.151 2.814
smugger 5.026 4.235 2.907
smuggle 5.261 4.334 3.166
smuggled 5.139 4.305 3.594
smuggler 5.158 4.304 3.355
smugglers 5.185 4.292 3.243
smuggles 5.316 4.29 3.546
smuggling 5.078 4.361 3.228
smugly 5.601 4.086 2.892
smugness 5.486 4.147 2.7
smut 5.612 4.425 3.189
smuts 5.506 4.052 3.062
smuttiness 5.964 4.053 2.801
smutty 5.733 4.291 3.151
snack 6.013 4.039 3.496
snacked 5.922 3.926 3.476
snacking 5.846 4.072 3.273
snacks 6.029 4.042 3.396
snaffle 5.628 3.887 3.208
snaffled 5.507 4.088 3.078
snaffles 5.678 3.857 2.957
snafu 5.484 4.139 3.043
snafus 5.409 4.099 2.825
snag 5.652 4.033 3.118
snagged 5.623 4 3.253
snagging 5.625 4.057 3.216
snaggletooth 5.735 4.069 3.275
snags 5.568 4.081 3.151
snail 5.685 3.856 3.576
snails 5.56 3.852 3.773
snake 5.417 4.247 3.408
snakebite 5.239 4.423 3.171
snakebites 4.956 4.439 3.15
snaked 5.529 3.997 3.558
snakefish 5.54 4.265 2.921
snakehead 5.791 4.055 3.532
snakelike 5.634 4.15 3.246
snakeroot 5.412 4.052 3.229
snakes 5.443 4.293 3.263
snakeskin 5.653 4.007 3.661
snaking 5.452 4.024 3.32
snaky 5.402 4.085 3.014
snap 5.539 4.042 3.153
snapback 5.62 4.114 3.039
snapdragon 5.826 3.702 3.236
snapdragons 6.016 3.898 3.207
snapped 5.582 4.05 3.276
snapper 5.601 3.939 3.658
snappers 5.777 4.023 3.212
snappier 5.761 3.955 2.901
snappiest 5.794 4.093 2.99
snappily 5.915 4.059 3.041
snappiness 5.848 3.898 2.78
snapping 5.523 4.064 3.259
snappish 5.361 4.049 2.783
snappishly 5.458 4.161 2.757
snappishness 5.713 3.956 2.824
snappy 5.758 4.054 2.958
snaps 5.561 4.014 3.301
snapshot 5.683 3.955 3.057
snapshots 5.737 3.979 3.022
snare 5.485 4.16 3.183
snared 5.209 4.281 3.093
snares 5.313 4.238 3.026
snaring 5.515 4.203 3.154
snarky 5.554 4.091 2.889
snarl 5.677 4.119 3.204
snarled 5.382 4.241 3.285
snarling 5.318 4.245 3.277
snarls 5.357 4.25 3.212
snarly 5.442 4.092 3.145
snatch 5.512 4.26 3.253
snatched 5.561 4.168 3.285
snatcher 5.508 4.277 3.528
snatchers 5.249 4.454 3.366
snatches 5.664 4.089 3.118
snatching 5.451 3.979 3.406
snazzier 5.926 3.948 2.901
snazzy 5.892 4.002 3.206
sneak 5.516 4.165 3.084
sneaked 5.541 4.054 3.226
sneaker 5.702 4.038 3.362
sneakers 5.773 4.05 3.454
sneakier 5.392 4.123 2.893
sneakiest 5.381 4.088 3.004
sneakiness 5.477 4.144 2.752
sneaking 5.5 4.145 3.094
sneaks 5.522 4.099 3.235
sneaky 5.485 4.178 2.918
sneer 5.518 4.12 2.913
sneered 5.481 4.133 3.065
sneering 5.399 4.145 2.846
sneeringly 5.473 4.109 2.902
sneers 5.425 4.154 2.893
sneeze 5.542 4.104 3.183
sneezed 5.493 4.121 3.206
sneezer 5.752 4.141 2.691
sneezes 5.405 4.079 3.245
sneezing 5.125 4.305 3.6
snick 5.721 4.008 3.117
snicked 5.94 3.745 3.084
snicker 5.559 4.155 2.946
snickered 5.853 4.076 3.076
snickering 5.54 4.046 3.064
snickers 5.854 4.157 3.521
snicking 5.401 4.13 3.119
snicks 5.672 4.043 3.104
snide 5.382 3.982 2.751
snideness 5.573 4.043 2.681
snider 5.653 4.064 3.186
sniff 5.552 4.102 3.105
sniffed 5.582 4.087 3.219
sniffer 5.823 4.091 3.186
sniffers 5.355 4.215 3.109
sniffing 5.375 4.256 3.3
sniffle 5.533 4.132 3.041
sniffled 5.716 4.082 3.127
sniffles 5.403 4.092 3.044
sniffling 5.466 4.079 3.278
sniffs 5.544 4.111 3.043
sniffy 5.656 4.097 2.999
snifter 5.733 3.959 3.487
snifters 5.794 3.903 3.569
snigger 5.529 4.124 3.02
sniggered 5.442 3.62 3.343
sniggering 5.524 4.106 3.089
sniggers 5.606 4.083 3.032
snip 5.32 4.048 2.919
snipe 5.692 4.214 2.861
sniped 5.487 4.089 2.929
sniper 5.202 4.372 3.398
snipers 5.142 4.591 2.892
snipes 5.41 4.165 2.934
sniping 5.453 4.099 2.858
snipped 5.423 3.883 2.847
snippet 5.66 3.859 2.999
snippets 5.69 4.002 2.993
snippety 4.904 4.253 3.234
snipping 5.409 3.991 2.769
snippy 5.508 4.042 2.767
snips 5.353 4.053 2.759
snit 5.526 4.02 2.785
snitch 5.359 4.215 3.046
snitched 5.477 4.185 3.125
snitcher 5.225 4.237 2.91
snitches 5.192 4.296 2.989
snitching 5.356 4.16 2.957
snits 5.594 4.058 2.913
snivel 5.013 4.207 2.988
sniveled 4.966 4.058 2.945
sniveling 5.135 4.183 2.968
snivelings 4.847 4.063 2.62
snivelled 5.021 3.927 3.204
snivelling 4.888 4.292 2.95
snob 5.658 4.112 2.878
snobberies 5.738 3.969 3.083
snobbery 5.593 4.096 2.752
snobbiest 5.896 4.238 2.906
snobbish 5.571 4.097 2.772
snobbishly 5.497 4.136 2.804
snobbishness 5.56 4.098 2.708
snobby 5.643 4.155 2.853
snobs 5.662 4.11 2.88
snog 5.908 4.21 3.122
snogged 5.957 4.216 2.875
snogging 5.875 4.178 3.164
snogs 5.831 4.135 3.267
snood 5.673 3.913 3.717
snoods 5.902 3.896 3.604
snook 5.735 4.12 3.276
snooker 5.891 4.122 3.34
snookered 5.498 4.017 2.676
snoop 5.699 4.226 3.23
snooped 5.62 4.005 3.021
snooper 5.629 4.019 3.062
snoopers 5.523 4.034 3.009
snooping 5.437 4.064 3.005
snoops 5.613 4.097 3.088
snoopy 5.99 4.164 3.634
snoot 5.554 4.055 3.132
snootiest 6.115 3.881 3.203
snootily 5.543 3.996 2.872
snootiness 5.664 4.033 2.708
snoots 5.585 3.988 3.101
snooty 5.69 4.04 2.925
snooze 5.513 4.208 3.234
snoozed 5.563 4.099 3.181
snoozer 5.794 4.069 3.032
snoozers 5.587 4.074 2.875
snoozes 5.525 4.043 3.201
snoozing 5.813 3.953 3.258
snore 5.513 3.949 3.169
snored 5.56 4.037 3.14
snorer 5.521 3.974 3.187
snorers 5.318 3.986 2.934
snores 5.795 4.004 3.235
snoring 5.2 3.994 3.533
snorkel 5.797 3.967 3.462
snorkeled 5.971 4.004 3.315
snorkeler 5.457 4.224 3.274
snorkeling 6.062 4.057 3.416
snorkels 5.674 4.023 3.266
snort 5.503 4.097 3.192
snorted 5.592 4.167 3.198
snorter 5.363 4.24 3.266
snorting 5.204 4.34 3.578
snorts 5.502 4.13 3.198
snot 5.39 4.119 3.158
snots 5.585 4.162 3.005
snotty 5.529 4.071 2.894
snout 5.474 4.063 3.307
snouts 5.382 4.075 3.197
snouty 4.97 4.002 2.911
snow 5.687 3.944 3.334
snowball 5.786 4.274 3.397
snowballed 5.453 4.124 2.955
snowballing 5.602 4.275 3.424
snowballs 5.662 4.181 3.262
snowberry 5.567 4.035 3.53
snowbird 6.197 4.29 3.743
snowblind 5.623 4.228 3.48
snowboard 5.919 4.143 3.637
snowboarder 5.799 4.263 3.251
snowboarders 5.726 4.132 3.155
snowboarding 5.945 4.249 3.386
snowboards 5.735 4.214 3.22
snowbound 5.762 4.121 3.457
snowcap 5.812 3.864 3.398
snowcaps 5.904 3.839 3.322
snowdrift 5.579 4 3.473
snowdrifts 5.554 3.965 3.501
snowdrop 5.813 3.935 3.525
snowdrops 5.872 3.805 3.251
snowed 5.786 3.957 3.098
snowfall 5.663 3.863 3.133
snowfalls 5.603 3.893 3.13
snowfield 5.723 3.982 3.315
snowfields 5.602 3.959 3.299
snowflake 5.941 4.032 3.306
snowflakes 5.925 3.948 3.162
snowiness 5.56 3.906 3.002
snowing 5.818 3.97 3.168
snowless 5.866 3.921 3.118
snowline 5.686 3.991 3.092
snowman 5.864 4.058 3.517
snowmen 5.957 4.035 3.405
snowmobile 5.701 4.12 3.669
snowmobiles 5.756 4.158 3.499
snowmobiling 5.949 4.17 3.442
snowpack 5.6 3.931 3.166
snowplough 5.646 3.919 3.272
snowplow 5.579 4.052 3.413
snowplows 5.554 3.932 3.382
snows 5.637 3.996 3.082
snowshoe 5.888 3.982 3.482
snowshoeing 5.896 4.037 3.372
snowshoes 5.743 4.006 3.304
snowstorm 5.562 4.053 3.226
snowstorms 5.432 4.038 3.138
